Species,Age,Sex,Wing,Weight,Tail
SS,I,F,194,155,153
RT,I,,375,1045,221
RT,I,,369,900,220
RT,I,,368,1015,219
RT,A,,393,1385,225
RT,I,,370,1165,221
RT,I,,378,905,215
RT,I,,369,985,223
RT,I,,364,800,219
RT,I,,387,995,235
RT,A,,410,1460,216
SS,I,F,194,165,151
RT,A,,410,1585,130
SS,A,F,194,185,154
RT,I,,373,920,223
RT,I,,390,1460,221
RT,A,,404,1315,220
RT,I,,375,1019,186
RT,I,,395,1215,217
RT,I,,379,1005,209
RT,I,,382,1350,215
RT,I,,404,1145,214
SS,A,F,205,175,169
RT,A,,377,1010,207
SS,I,M,184,155,153
RT,I,,390,1120,210
RT,A,,404,280,224
RT,I,,351,775,200
RT,I,,394,1210,207
SS,A,M,175,107,137
RT,A,,372,909,212
SS,I,M,169,95,132
RT,I,,376,1145,226
RT,I,,399,1150,232
RT,I,,399,1560,228
RT,I,,357,940,205
SS,I,F,195,145,155
RT,I,,400,1089,228
RT,I,,382,1194,237
SS,I,M,161,95,135
RT,I,,390,1015,230
RT,I,,379,975,219
RT,I,,376,1035,223
RT,A,,331,1055,210
RT,I,,371,945,222
SS,I,M,160,90,124
RT,I,,361,785,201
CH,A,F,268,56,206
RT,I,,394,1220,234
SS,A,F,191,175,149
RT,A,,358,1025,204
RT,I,,380,1000,204
SS,A,F,188,175,154
RT,I,,397,1210,224
SS,A,F,196,180,150
SS,A,F,190,175,147
SS,I,M,161,90,130
CH,A,F,145,320,180
RT,I,,392,1185,229
SS,I,F,190,NA,153
CH,I,M,230,350,187
RT,A,,406,NA,222
RT,I,,363,950,214
SS,I,M,162,85,132
RT,I,,374,895,219
RT,I,,412,1150,230
CH,I,F,272,565,219
RT,I,,388,950,230
RT,I,,371,990,217
CH,I,M,225,325,179
RT,I,,391,1120,225
SS,I,M,163,90,123
RT,I,F,410,1120,229
RT,I,,368,820,215
RT,I,F,410,1200,247
RT,A,F,425,1120,222
RT,I,,368,1120,220
RT,I,,392,1220,234
SS,I,M,250,470,192
RT,I,,418,1310,248
RT,I,,370,920,221
SS,A,M,170,100,132
SS,A,F,203,180,162
RT,A,,370,955,218
RT,A,,408,1225,225
RT,A,,393,1400,215
RT,I,,365,1025,225
RT,I,,405,1140,244
RT,I,,381,1080,232
RT,I,,390,1135,238
RT,I,,384,1430,231
RT,I,,390,1050,218
RT,I,,381,920,223
SS,A,F,194,175,152
RT,I,,371,905,197
RT,I,,356,915,195
RT,I,,377,910,206
RT,I,,362,950,213
SS,A,M,165,105,127
SS,A,M,155,100,122
RT,I,,400,1225,222
SS,A,M,161,105,124
RT,I,,387,1090,227
RT,I,,409,1350,235
SS,A,F,195,200,158
SS,A,F,196,200,150
SS,A,M,169,100,133
RT,I,,385,940,228
RT,I,,377,920,219
RT,I,,400,1190,231
SS,I,M,164,90,127
SS,A,M,165,95,127
RT,I,,363,915,209
CH,A,F,266,535,223
RT,I,,403,1310,237
RT,I,,375,950,210
SS,A,M,166,120,133
RT,I,,373,975,215
RT,I,,373,990,217
SS,A,M,170,110,135
RT,A,,373,1270,207
RT,I,,354,960,211
RT,I,,394,1290,225
SS,I,M,165,95,131
CH,A,F,261,505,203
RT,I,,377,1045,223
RT,I,,364,1090,218
RT,I,,385,1180,222
RT,I,,390,1195,235
RT,A,,383,1055,208
RT,I,,365,1025,216
SS,I,F,201,175,157
RT,I,,376,940,217
RT,A,,402,1335,219
RT,I,,394,1085,235
CH,I,M,223,375,185
RT,A,,378,1090,212
RT,I,,369,995,211
RT,A,,378,1090,201
RT,A,,262,1020,200
SS,I,M,165,100,137
RT,A,,379,1000,217
RT,I,,380,1085,223
RT,A,,380,1045,199
RT,I,,393,1060,217
RT,A,,389,1135,207
RT,I,,395,1210,222
SS,I,F,207,185,163
RT,I,,367,965,217
RT,A,,368,905,200
RT,I,,377,1125,220
RT,I,,374,950,216
RT,A,,385,1195,216
RT,I,,363,1005,222
SS,I,M,164,95,136
SS,A,F,199,175,142
RT,I,,378,995,213
SS,I,F,200,165,154
RT,I,,405,1170,226
SS,I,F,194,145,156
SS,I,F,190,175,160
SS,I,F,195,170,149
SS,I,M,161,105,131
SS,I,M,168,95,137
SS,I,M,160,95,126
RT,I,,392,1085,210
SS,I,F,201,165,165
RT,I,,395,1115,235
RT,I,,390,1195,222
SS,I,M,161,100,129
CH,A,M,230,365,192
SS,I,F,192,170,156
SS,I,M,156,90,135
SS,I,M,158,95,129
SS,I,M,167,115,131
SS,I,F,199,155,160
CH,I,F,320,229,195
RT,A,,389,1165,223
CH,I,M,227,155,192
CH,A,M,230,340,198
SS,A,F,199,180,152
RT,I,,378,235,223
SS,I,M,164,105,132
RT,A,,385,1085,216
RT,I,,369,970,207
RT,I,,378,1030,218
RT,I,,373,1015,215
RT,A,,419,1030,224
RT,I,,414,1215,242
SS,A,F,203,185,157
SS,A,M,162,95,119
SS,I,M,165,95,130
SS,A,M,161,95,124
SS,I,M,161,110,130
RT,I,,404,1170,237
SS,I,M,165,105,140
SS,A,F,199,175,159
SS,I,M,171,95,138
SS,A,F,213,190,159
SS,A,M,169,105,136
RT,I,,379,1435,221
RT,I,,407,1235,243
RT,I,,376,1055,222
RT,I,,380,1105,208
SS,A,M,172,120,132
RT,I,,408,1390,245
SS,A,M,167,105,131
RT,A,,374,1080,206
RT,I,,376,910,220
CH,I,F,258,490,214
RT,I,,370,845,217
SS,A,F,202,175,162
RT,I,,363,865,210
SS,A,F,200,180,163
RT,I,,372,2030,196
RT,A,,378,960,206
CH,A,F,254,515,218
RT,I,,361,970,218
RT,A,,389,1265,210
RT,A,,404,1300,224
SS,I,F,195,170,154
SS,I,F,203,191,161
CH,A,F,253,540,209
SS,I,F,199,185,157
SS,I,F,194,165,158
SS,A,F,196,205,156
SS,I,M,168,95,133
RT,A,,395,1170,218
RT,I,,368,1075,213
SS,I,F,210,200,165
RT,I,,401,965,235
RT,I,,355,785,206
RT,A,,377,1095,206
SS,I,F,197,160,153
SS,I,M,171,95,135
RT,A,,277,1500,207
RT,A,,435,1595,230
RT,I,,372,985,224
CH,A,F,260,565,216
RT,I,,390,240,218
RT,I,,359,875,215
RT,I,,393,1225,226
RT,I,,402,1255,242
RT,I,,362,950,212
CH,I,M,227,330,193
RT,A,,359,895,201
SS,I,M,155,100,129
CH,I,F,261,455,216
SS,I,M,160,90,132
SS,I,M,166,105,131
RT,I,,362,1305,234
RT,I,,375,975,220
RT,I,,388,1185,225
RT,I,,392,1030,214
RT,I,,412,1215,230
RT,I,,371,1075,220
CH,A,F,255,960,200
RT,I,,391,795,209
SS,I,F,190,180,156
RT,I,,385,1225,225
SS,I,M,166,110,139
SS,A,F,197,165,159
RT,I,,370,920,226
SS,I,F,190,170,154
RT,I,,400,1315,230
SS,I,M,162,100,131
SS,I,F,194,155,156
RT,I,,395,1155,233
RT,I,,403,1160,235
RT,I,,386,955,226
SS,A,F,193,190,145
SS,A,F,203,180,156
SS,A,M,159,90,130
SS,I,M,163,100,130
SS,A,M,191,190,147
SS,I,M,166,105,141
RT,I,,361,1030,231
CH,A,F,260,565,205
CH,A,M,234,380,192
RT,I,,377,1040,225
RT,I,,361,910,205
RT,I,,375,1005,226
SS,I,F,193,180,156
SS,I,F,196,175,153
SS,I,M,159,105,131
SS,I,F,192,190,155
RT,I,,401,1250,230
SS,I,F,198,185,165
RT,I,,407,1275,238
SS,I,M,162,105,132
CH,A,F,169,640,233
SS,I,M,168,100,135
SS,A,M,168,105,134
CH,A,M,223,390,181
RT,I,,375,1030,217
RT,A,,406,1290,227
RT,I,,386,1020,230
SS,A,M,160,105,136
RT,I,,378,1055,217
SS,A,F,193,185,154
RT,I,,379,1010,216
RT,I,,364,1015,215
RT,A,,350,1115,199
RT,I,,380,1320,210
RT,A,,395,1180,217
RT,I,,372,1145,212
RT,I,,376,995,223
RT,I,,367,1045,215
CH,I,M,230,340,196
RT,I,,366,935,218
RT,I,,386,1065,221
RT,I,,375,1110,215
SS,I,F,199,190,163
RT,A,,405,1255,218
RT,A,,371,1015,204
SS,I,F,193,190,151
RT,I,,350,960,218
SS,I,F,193,200,155
RT,A,,368,1090,216
SS,I,M,185,170,156
RT,I,,372,1085,220
RT,I,,396,1065,230
RT,I,,365,1125,213
RT,I,,374,1050,220
CH,I,F,253,525,213
RT,I,,372,980,215
RT,I,,376,1180,214
SS,I,M,166,115,136
RT,I,,369,1095,215
RT,A,,391,1330,217
SS,I,F,193,185,158
RT,A,,397,1100,219
RT,I,,366,1115,215
RT,A,,385,1400,211
RT,I,,400,1175,234
SS,I,F,198,185,161
RT,A,,365,970,208
SS,I,F,194,170,153
SS,I,F,195,175,152
SS,I,F,200,165,163
RT,I,,384,1260,226
SS,I,M,159,110,125
SS,I,M,161,100,134
SS,I,F,191,190,162
CH,I,M,216,305,185
CH,I,F,256,510,212
SS,I,M,161,90,123
RT,A,,396,1195,228
RT,I,,391,1035,221
SS,I,M,160,90,131
SS,I,M,183,160,143
SS,I,M,156,85,129
RT,I,,393,1155,223
RT,I,,397,1260,232
SS,I,M,159,95,125
CH,I,F,255,440,214
SS,I,M,197,175,150
CH,I,M,218,295,183
SS,I,F,196,160,158
RT,I,,384,1010,230
RT,I,,385,990,225
SS,I,M,181,150,141
CH,I,M,225,300,183
RT,I,,379,945,224
SS,I,F,201,188,162
SS,I,M,161,95,131
CH,A,M,230,330,188
SS,I,M,159,95,132
RT,I,,367,970,215
RT,I,,396,1240,237
SS,I,M,157,105,133
SS,I,F,191,165,156
SS,I,F,191,170,163
SS,I,M,168,100,134
RT,I,,428,1290,253
CH,A,F,252,470,211
SS,A,F,192,175,160
SS,A,F,195,195,158
CH,A,M,233,335,187
RT,A,,364,1150,196
RT,I,,370,960,217
RT,I,,400,1130,227
RT,I,,375,925,220
RT,I,,398,1205,227
RT,I,,385,1040,238
SS,I,M,156,100,122
CH,I,M,230,335,201
CH,I,M,220,335,185
SS,I,M,163,105,137
RT,I,,376,860,220
RT,I,,360,935,212
RT,A,,372,1010,197
RT,I,,400,1285,230
SS,A,F,194,210,147
RT,I,,370,830,233
SS,I,M,160,95,135
RT,I,,403,1350,140
RT,I,,375,1010,218
RT,I,,373,960,222
RT,I,,385,1370,233
SS,I,F,143,170,159
SS,I,M,162,100,136
RT,I,,392,1250,222
RT,I,,372,915,203
RT,I,,375,850,218
RT,I,,415,1285,242
SS,A,M,161,95,129
RT,A,,380,1005,205
RT,A,,411,1220,236
SS,A,M,161,95,121
SS,I,M,165,100,134
RT,I,,393,1265,233
RT,I,,370,1020,211
CH,A,M,230,360,186
RT,I,,365,895,217
RT,I,,371,1160,218
RT,I,,400,1585,241
RT,A,,382,1140,218
RT,A,,371,1115,208
RT,A,,370,1145,212
SS,A,F,194,185,152
RT,A,,347,990,203
RT,I,,363,945,218
SS,I,F,195,165,153
RT,A,,392,1030,196
CH,I,M,220,320,184
SS,I,F,193,105,156
RT,I,,365,990,217
RT,A,,387,1065,212
RT,I,,400,1050,237
RT,I,,362,840,206
SS,I,F,198,190,158
SS,I,F,190,200,157
SS,I,F,197,185,157
RT,A,,370,1000,201
SS,I,F,200,185,158
RT,A,,360,1325,224
RT,A,,366,945,199
RT,A,,402,1350,219
RT,I,,366,805,217
RT,I,,380,1525,224
SS,I,F,190,175,150
RT,I,,360,790,211
RT,I,,369,860,207
RT,A,,199,1290,222
